1,1,1271,3.8,17.5
1,1,474,1.5,8
1,1,637,1.4,8.5
1,1,181,0.6,4.5
1,1,661,1.1,8.5
1,1,935,9.6,27.5
1,1,869,2.3,11.5
1,1,454,1.4,7.5
1,1,366,1.5,7.5
1,1,252,0.6,5
1,1,314,1.2,6
1,1,480,0.7,7
1,1,386,1.3,7
1,2,351,0.8,5.5
1,1,407,1.1,7
1,2,970,5.6,19
1,3,371,0.6,6
1,2,367,1.3,6.5
1,1,621,1.7,9
1,1,243,0.6,4.5
2,1,3,0,52
1,3,485,0.8,6.5
1,1,88,0.4,3.5
1,2,160,0.6,4.5
1,2,596,1.4,8.5
1,1,270,0.8,5.5
1,1,1728,9.8,32
1,1,493,1.4,8.5
1,1,655,1.4,8.5
1,1,571,2,9
1,2,144,0.5,4
1,1,453,1.3,7
1,2,1074,3.8,16
1,1,470,1.4,7.5
1,1,821,2.5,11.5
1,2,539,1.4,8
1,1,397,0.4,5.5
1,1,223,0.8,5
1,1,457,1,7
1,1,1527,4.7,19.5
2,1,1785,16.4,52
1,2,612,2.1,10
1,2,467,1.3,7
1,2,262,0.6,5
1,1,1603,6.5,24.5
1,1,659,1.7,9.5
1,4,1069,2.4,12.5
1,1,139,0.4,4
1,1,411,1.1,7
1,1,340,0.5,5.5
1,1,1439,3.6,17.5
1,2,425,1.1,7
1,1,2561,9.3,33.5
1,1,308,0.9,5.5
1,2,385,1.3,7
1,1,1267,6.9,23
1,1,829,2.6,11.5
1,1,319,1.1,6.5
1,1,390,0.9,6.5
1,3,820,2.6,11.5
1,1,702,3.7,13
1,1,771,0.9,9
1,1,850,2,10.5
1,1,846,6.3,18.5
1,1,697,2.4,11
1,1,244,1.1,5.5
1,1,299,1.4,6.5
1,2,338,1.6,7
1,1,177,0.8,4.5
1,1,356,1.5,7.5
1,1,778,3.4,13
1,1,514,1.6,8
1,1,372,1.1,6.5
2,2,2104,18.8,52
1,1,489,1.6,8.5
1,1,1000,1.8,12
1,1,840,1,10
1,1,123,0.7,4
1,2,1070,5.9,20
1,1,427,1.2,7
1,1,1120,3.7,16
1,1,241,0.4,4.5
1,1,677,1.8,10
1,1,1151,4.5,17.5
1,1,176,0.6,4.5
1,1,133,0.8,4.5
1,2,302,0.8,5.5
1,2,284,0.6,5
1,1,543,1.3,8
1,1,668,4.2,15
1,1,402,0.8,6
1,2,887,3.3,13
1,1,1906,5.2,23.5
1,1,357,1.6,7
1,1,143,0.9,4.5
1,1,135,0.4,4
1,1,332,1.3,6.5
1,1,460,1.7,8
1,1,421,1,6.5
1,2,482,1.5,7.5
1,1,180,0.69,4.5
1,6,600,2.14,9.5
1,6,840,3.63,13.5
1,6,360,1.01,6
1,6,300,0.95,6
1,6,240,0.72,5
1,6,1260,5.34,19
1,6,720,8.49,24
1,6,180,0.94,5
1,6,420,2.63,10
1,6,720,1.04,8.5
1,6,600,1.4,7.5
1,6,1080,4.85,17.5
1,6,960,3.67,14
1,6,420,1.98,8.5
1,6,1200,4.92,19
1,6,1320,5.5,20
1,6,120,0.72,4.5
1,6,300,1.58,7
1,6,360,0.75,6
1,6,480,1.42,7.5
1,6,120,0.94,4.5
1,6,1020,8.16,25
1,6,720,2.25,10.5
1,6,660,2.34,10.5
1,6,840,8.89,25
1,6,780,2.74,11.5
1,6,120,0.62,4
1,6,420,3.57,12
1,6,1380,6.33,23.5
1,6,360,0.9,6.5
1,6,120,0.39,3.5
1,6,720,2.79,11.5
1,6,720,2.51,11.5
1,6,2400,7.72,31.5
1,6,900,1.46,10.5
1,6,240,1.24,6
1,6,120,0.72,4.5
1,6,600,2,9
1,6,780,6.3,19.5
1,6,660,2.31,10.5
1,6,420,1.21,7
1,6,1200,13.14,36.5
1,6,480,3.76,12.5
1,6,240,1.54,6.5
1,6,300,1.45,7
1,6,300,1.23,6
1,6,480,2.02,9
1,6,600,3.77,13
1,6,720,2.31,10
1,6,180,1.18,5.5
1,6,480,1.64,8
1,6,600,3.82,13.5
1,6,2220,8.08,29
1,6,720,2.54,11.5
1,6,1260,10.11,29.5
1,6,240,0.99,5
1,6,900,7.1,22
1,6,600,3.66,13
1,6,1440,12.8,37.5
1,6,480,1.08,7.5
1,6,540,1.88,8.5
1,6,600,3.08,11.5
1,6,1980,7.52,26.5
1,6,1500,3.76,18.5
1,6,1020,5.35,19
1,6,300,1.22,6.5
1,6,420,2.5,9
1,6,420,1.4,7.5
1,6,300,1.66,7
1,6,1380,8.54,26.5
1,6,420,2.34,8.5
1,6,360,1.14,6
1,6,540,2.15,9
1,6,720,6.97,20
1,6,180,0.49,4
1,6,780,7,21
1,6,300,1.8,7
1,6,720,1.91,10
1,1,1080,3.67,15
1,1,780,3.63,14
1,6,840,3.54,13.5
1,6,1080,4.06,16
1,6,840,3.11,13
1,6,660,4.24,14.5
1,6,900,3.25,13
1,6,480,1.85,8.5
1,6,360,1.19,6
1,6,1200,9.21,28
1,6,1140,2.19,13.5
1,6,540,1.51,8
1,6,780,2.27,11.5
1,6,420,2.04,8.5
1,6,240,2.07,8
1,6,240,0.85,5
1,6,300,1.57,6.5
1,6,540,1.46,8
1,6,420,0.85,6
1,6,600,1.13,8
1,6,660,3.23,12
1,6,420,1.01,6.5
